publishedAt;authorDisplayName;text;likeCount
2023-05-08T01:02:10Z;Wahyudi Etkinson;saya tim  quot jari putih quot   percuma gak ada perubahan sama sekali  dari zaman nahkoda pertama sampai ke  indonesia selalu ditekan oleh pihak asing dan gak berani untuk bergerak secara mandiri selalu menjadi negara berkembang  demokrasi sudah mati  hak rakyat diabaikan  para partai hanya mementingkan urusan pribadi  korupsi merajalela  hukuman untuk rakyat atas dan bawah sangat timpang  pemanfaatan sda yang di ekploitasi untuk kepentingan suatu pihak  bayar pajak selalu rajin kepada negara tapi justru pajak itu dislewengkan  ini bukan ajakan  ini hanya opini saya pribadi  saya berusaha berpikir kritis oleh sebab akibat jangka panjang  sebelum saya bicara seperti ini saya sudah lakukan riset kepada para capres dan caleg   suara adalah hak bukan kewajiban ;0
2023-05-08T00:15:18Z;Clowwie ☁︎;mak banteng pilih ganjar   br pdip partai  anti islam  pengajian   rasis    br pdip tdk butuh suara umat islam;0
2023-05-08T00:00:41Z;LANEAZ IRORSA;calon lebih dari  lebih bagus;0
2023-05-07T22:44:33Z;Riski Okta;airlangga hartarto ;0
2023-05-07T22:39:53Z;N Meci;pemimpin muslim dengan ciri siddiq tabligh amanah fathonah komplit ada pada kepribadian bapak anies rasyid baswedan  top markotop ;3
2023-05-08T22:10:47Z;FaizBauketek;wkwkwkwkwk modal bawa agama;0
2023-05-08T14:57:46Z;akuang akuang;   ;0
2023-05-07T22:20:34Z;bang jali;siapa pun calonya asal jangan yg di usung oleh br hti  pks  amin rais ;0
2023-05-07T22:09:56Z;Andri Rusdianto;nunggu info capres lainnya dulu ajalah ;0
2023-05-07T21:22:28Z;Hansco Fans;golput ajah khan itu bagian dari demokrasi      ;0
2023-05-07T20:35:44Z;Bang Kennn;saya pilih yang punya gagasan masuk akal aja  cape soalnya denger janji yang gak masuk akal  ;0
2023-05-07T19:16:27Z;Novi Noviandi;sapa aja gak masalah asal jangan anies   ganjar itu aja;0
2023-05-07T18:52:34Z;Abdul Haris;makan ongkos bener  ;0
2023-05-07T17:46:17Z;Naarra;mending prabowo sama ganjar;0
2023-05-07T17:06:51Z;Merbau Cell;prabowo  ;0
2023-05-07T16:56:52Z;Fadil Wahyu;yang penting anti pdi;0
2023-05-07T15:48:11Z;Putuarta sentana;ganjar pranowo ri   ;0
2023-05-07T14:38:14Z;Teguh Ahmad;pak ganjar   gubernur jateng  periode kader pdip br pak prabowo   menteri pertahanan  ketum partai gerindra   br pak anis   mantan gubernur dki bersama pak sandiaga uno diusung partai gerindra  partainya pak prabowo   br kesimpulan pak prabowo ketua umum bukan bawahan partai   br pak ganjar  amp  pak anis udah jelas lah  ;0
2023-05-07T14:18:30Z;Amanda Larisa;jgn salah pilih lagi  jgn pilih yg cuma pencitraan tapi mimpin daerahnya az ga beres  semoga pa anies nanti yg menang;0
2023-05-07T14:18:22Z;Hamdani 1987;kotak kardus sudah dikunci ma banteng  triliunan uang sudah disiapkan oleh oligarki dan antek nya untuk memuluskan jalan menuju ri   kejadian soal penolakan israel adalah tes ombak buat ganjar sudah dirancang sedemikian rupa ;0
2023-05-07T13:52:52Z;SiBolang Plat AE;jangan lupakan yg mematikan microfon;0
2023-05-07T13:41:27Z;bundalika;kamu nanya  yandaktaukoknanyasaya  ;0
2023-05-07T13:31:04Z;Gombloh Channel;gasss prabowo;0
2023-05-07T13:01:11Z;Ade Lolot;sya pilih ahok;0
2023-05-07T12:58:30Z;Oki Fath;saya pilih yang br asli yaman br insyaallah makmur seperti yaman;0
2023-05-07T12:34:33Z;ahmad abdul wahid;mau berapa putaran kak;0
2023-05-07T11:34:36Z;Lin Gire;ganjar saya orang berjiwa rakyat nkri papua buat bpk ganyar   ;0
2023-05-07T11:19:11Z;Boim B;aku pilih yang ada duit ama sembakonya   ;0
2023-05-07T11:17:21Z;SAHABAT DEWATA;kumpulan mnusia yang lbih  mikir partai ktimbng rkyat;0
2023-05-07T11:17:05Z;KH-RRA;kemungkinan hanya capres;0
2023-05-07T10:35:24Z;Subagio Sayogya;p prabowo menindak upaya kkn dengan baik  kita dukung     ttpi jangan salah pilih wapres     subagyo;0
2023-05-07T09:07:45Z;Infosafety _spbu;seruuu;0
2023-05-07T09:02:31Z;yusup januar;berapa aja capresny br ane tetep pilih bang anis;0
2023-05-07T08:24:44Z;Wasinah Nurya wirja;gila juga ya wadu amit deh bas ns ;0
2023-05-07T07:37:36Z;rivaldi -;sudah kecewa sama piala dunia    lbih baik prabowo dekat dgn jkw jg;0
2023-05-07T07:22:08Z;Dolly Herliansyah;lagi nunggu siapa cawapresnya;0
2023-05-07T07:09:53Z;Gusti Tarmidji;sekali boneka ttp boneka   ;0
2023-05-07T07:01:50Z;Apana Kevin;pa prabowo lanjutkan cita citamu untuk menjadi presiden  ;0
2023-05-07T05:46:38Z;JIMMY JEF MONTANA OFFICIAL;go to anis;0
2023-05-07T05:34:30Z;Slamet Slamet;hanya ganjar pilihan ku;0
2023-05-07T05:28:45Z;Ramli Botutihe;pdi hanya butuh kpu dan mk karna melakukan kecurangan    ;0
2023-05-07T05:26:37Z;Sutjipto Mamonto;bravo anis;0
2023-05-07T04:52:54Z;Be Ta;jokowi menang lagii;0
2023-05-07T04:30:11Z;ThiyoAN 86 STUDIO;saya prabowo;0
2023-05-07T04:24:03Z;Lek Banar;byk pilihan bagus biar gk ada yg tuduh curang;0
2023-05-07T04:23:58Z;ahmad nurhadi;h  bolot sama malih yang saya pilih;0
2023-05-07T03:03:29Z;Sapto Utomo;aseeeeekkkkkk       br gueh emang gp gaspol goes to ri  memimpin indonesia      menuju indonesia hebat     br salam pancasila bhineka tunggal ika;0
2023-05-07T03:02:40Z;Angga Subarashi;kompas no independen n    seperti baru lahir;0
2023-05-07T02:57:20Z;cemithicox;yg penting bukan anis  amp  ahy aja  ;0
2023-05-07T02:48:46Z;Rizqi W;anies baswedan untuk indonesia lebih makmur  amp  sejahtera yes i choose it  prabowo nafsu menggebu gebu  amp  masih ada campur tangan keluarga cendana untuk jadi ri  yakin dipilih   saya hanya ingin anies  tahun dahulu abis itu baru bowo gpp   ;0
2023-05-07T02:42:59Z;xxx;bang  serius tanya   br gw bukan pendukung siapa  br tapi kl boleh tanya br program apa yang sudah di buat oleh pak ganjar selama memimpin bang   br dan terobosan apa yang sudah beliau lakukan  kl tau pak prabowo juga bang  br bisa share ke sini ya   br karena gw mau riset pemimpin yang akan gw pilih   br gw ga mau asal pilih seseorang yang tidak memiliki kopetensi memimpin dan memimpin asal an   gw mau indonesia lebih baik ;0
2023-05-07T02:04:20Z;Subagio Sayogya;jangan pilih partai gagal     subagyo;0
2023-05-07T01:44:15Z;Jdjsbs clinik;mantap br jikalau ada  capres br setidaknya ada persaingan dan masih ada putra terbaik bangsa yg siap bertarung dalam pilpres br       br  pemilu dan pilpres br dah hilang isu penundaan pemilu dan  periode;0
2023-05-07T01:05:51Z;Hamzah Hamzah;pdi cukup solo rank;0
2023-05-07T00:50:19Z;Muhammad Slamet Setiawan;intinya jangan terlalu fanatik ya guys ya  kalo kalian suka salah satu capres yasudah itu pilihan masing masing jangan mempengaruhi orang lain atau menganggu orang lain yang berbeda pendapat  takutnya nih yaa kalo kalah nanti kecewa dan sakit hati  soalnya calon calon tersebut mah gaakan mikirin kalian untuk  orang bagi dia karena ya gakenal  quot lu siapa quot  hehehe;0
2023-05-07T00:44:39Z;putara Andalos;emang seharusnya seperti itu biar gk ada perpecahan kayak sekarang;0
2023-05-07T00:31:47Z;Naza Bara;yang penting bukan petugas partai;0
2023-05-07T00:07:31Z;Angga;salut sama pak prabowo  tapi saingannya bakalan makin banyak sih wkwk;0
2023-05-06T23:52:12Z;Jalang Kung;gusdur pernah berkata  pak prabowo adalah orang paling ikhlas melayani rakyat  yang lain nggak tahu;2
2023-05-06T23:49:34Z;WONG CIREBON;joss ganjar pranowo presiden kaum kadrun ketakutan   ;0
